# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-5783
# Timestamp: Fri, 13-Aug-2021 12:13:54
Gene ID	Gene Name	'Crohn's disease' vs 'normal' .foldChange	'Crohn's disease' vs 'normal'.pValue
ENSG00000116771	AGMAT	-0.5	0.119556124581108
ENSG00000116774	OLFML3	1.0	1.00926218096657E-5
ENSG00000116786	PLEKHM2	0.2	0.446805002599796
ENSG00000116791	CRYZ	-0.2	0.27517824191913
ENSG00000116793	PHTF1	0.1	0.675571678378802
ENSG00000116809	ZBTB17	-0.2	0.635489153876481
ENSG00000116815	CD58	-0.2	0.442228981131709
ENSG00000116819	TFAP2E	-0.3	0.62369537320087
ENSG00000116824	CD2	0.1	0.817391228467666
ENSG00000116830	TTF2	-0.2	0.553483765037568
ENSG00000116833	NR5A2	-0.3	0.108020902023336
ENSG00000116852	KIF21B	0.1	0.810957955616128
ENSG00000116857	TMEM9	0.1	0.87183268031509
ENSG00000116863	ADPRHL2	0.8	0.092207112995087
ENSG00000116885	OSCP1	0.4	0.468234870870059
ENSG00000116903	EXOC8	0.1	0.771861094295404
ENSG00000116906	GNPAT	0.1	0.845641965270379
ENSG00000116918	TSNAX	-0.1	0.77641412658584
ENSG00000116922	C1orf109	-0.6	0.131508800777313
ENSG00000116954	RRAGC	0.1	0.81077995624361
ENSG00000116962	NID1	0.6	5.57197755198964E-4
ENSG00000116977	LGALS8	0.1	0.492734782724421
ENSG00000116984	MTR	-0.2	0.200747943282014
ENSG00000116985	BMP8B	-1.3	1.43322017967123E-6
ENSG00000116990	MYCL	0.2	0.723028165000361
ENSG00000116991	SIPA1L2	-0.1	0.589240474355342
ENSG00000117000	RLF	0.1	0.713459080042497
ENSG00000117009	KMO	0.1	0.915023994008393
ENSG00000117010	ZNF684	0.3	0.604783368318872
ENSG00000117013	KCNQ4	0.1	0.92479075073126
ENSG00000117016	RIMS3	-0.1	0.811592308499087
ENSG00000117020	AKT3	-0.1	0.831238426144053
ENSG00000117036	ETV3	0.3	0.18387942859977
ENSG00000117054	ACADM	-0.4	0.0475366998894582
ENSG00000117069	ST6GALNAC5	0.1	0.899483168779315
ENSG00000117090	SLAMF1	0.3	0.569055405042606
ENSG00000117114	ADGRL2	-0.2	0.277644522898658
ENSG00000117115	PADI2	-0.5	0.114878643017103
ENSG00000117118	SDHB	-0.6	5.0802106390409E-4
ENSG00000117133	RPF1	0.2	0.659652053494816
ENSG00000117143	UAP1	-0.2	0.253556410340418
ENSG00000117151	CTBS	0.1	0.913824995266649
ENSG00000117152	RGS4	-0.2	0.668780372999948
ENSG00000117155	SSX2IP	0.1	0.715418918367719
ENSG00000117174	ZNHIT6	0.2	0.351621780121794
ENSG00000117215	PLA2G2D	-0.3	0.612952609832959
ENSG00000117222	RBBP5	0.1	0.693079015517214
ENSG00000117226	GBP3	0.3	0.372107299868829
ENSG00000117228	GBP1	0.8	8.30517401292095E-4
ENSG00000117242	PINK1-AS	-0.5	0.237184413300322
ENSG00000117262	GPR89A	0.3	0.455052987564406
ENSG00000117266	CDK18	-0.4	0.0990348520245119
ENSG00000117280	RAB29	-0.6	0.00793679250869923
ENSG00000117281	CD160	0.2	0.73352214426433
ENSG00000117298	ECE1	0.3	0.132245784110563
ENSG00000117305	HMGCL	-0.3	0.239946851599889
ENSG00000117308	GALE	0.3	0.490266715312194
ENSG00000117318	ID3	-0.4	0.163714006025645
ENSG00000117322	CR2	-0.6	0.229484431761071
ENSG00000117335	CD46	0.3	0.0177584569090484
ENSG00000117360	PRPF3	-0.4	0.0290181007155632
ENSG00000117362	APH1A	0.3	0.248877661213933
ENSG00000117394	SLC2A1	0.5	0.140728996688163
ENSG00000117395	EBNA1BP2	0.4	0.0988557387344366
ENSG00000117399	CDC20	-0.5	0.268410209496008
ENSG00000117400	MPL	-0.5	0.338817695075642
ENSG00000117408	IPO13	0.7	0.0595801716925756
ENSG00000117410	ATP6V0B	0.3	0.267189935935534
ENSG00000117411	B4GALT2	-0.2	0.612863088532005
ENSG00000117419	ERI3	-0.1	0.765888212395581
ENSG00000117425	PTCH2	-0.8	0.101379480770951
ENSG00000117461	PIK3R3	0.7	0.0117022443330194
ENSG00000117472	TSPAN1	0.5	0.0200668003276935
ENSG00000117475	BLZF1	0.1	0.845999572137441
ENSG00000117477	CCDC181	0.4	0.504328689847641
ENSG00000117479	SLC19A2	-0.3	0.498944944657553
ENSG00000117480	FAAH	-0.6	0.11376655060334
ENSG00000117481	NSUN4	0.3	0.287692297544552
ENSG00000117500	TMED5	-0.1	0.87664643552046
ENSG00000117501	MROH9	-0.2	0.802832201292737
ENSG00000117505	DR1	0.1	0.526817853176283
ENSG00000117507	FMO6P	-0.1	0.876690495985128
ENSG00000117519	CNN3	0.3	0.0772699887092593
ENSG00000117523	PRRC2C	0.3	1.65001834459255E-8
ENSG00000117525	F3	0.6	1.24320439469563E-4
ENSG00000117528	ABCD3	-0.4	0.0491756433305117
ENSG00000117533	VAMP4	0.1	0.796838448768673
ENSG00000117543	DPH5	-0.2	0.67880039108924
ENSG00000117560	FASLG	-0.3	0.653109752381941
ENSG00000117586	TNFSF4	-0.2	0.669031375557165
ENSG00000117592	PRDX6	0.3	0.280350275873498
ENSG00000117593	DARS2	-0.2	0.367308222390831
ENSG00000117594	HSD11B1	-0.2	0.722521039222104
ENSG00000117595	IRF6	0.1	0.79088293516473
ENSG00000117597	UTP25	0.1	0.892125190172617
ENSG00000117600	PLPPR4	-0.1	0.926881275442715
ENSG00000117602	RCAN3	-0.2	0.467687923902451
ENSG00000117614	SYF2	0.1	0.696517289155109
ENSG00000117625	RCOR3	0.5	3.96010153259044E-4
ENSG00000117632	STMN1	0.1	0.77641412658584
ENSG00000117643	MAN1C1	0.2	0.565363347481667
ENSG00000117650	NEK2	0.4	0.420164612818865
ENSG00000117676	RPS6KA1	-0.2	0.416927681499203
ENSG00000117682	DHDDS	-0.3	0.0872542068609369
ENSG00000117691	NENF	0.1	0.757215243717281
ENSG00000117697	NSL1	-0.2	0.581032181300531
ENSG00000117713	ARID1A	0.2	0.163941286104216
ENSG00000117748	RPA2	-0.2	0.538041964750189
ENSG00000117751	PPP1R8	-0.1	0.594338103105531
ENSG00000117758	STX12	0.2	0.423229145787459
ENSG00000117834	SLC5A9	-0.3	0.17323733033169
ENSG00000117859	OSBPL9	0.2	0.347575065550672
ENSG00000117862	TXNDC12	0.3	0.643210573632275
ENSG00000117868	ESYT2	-0.2	0.224150262173535
ENSG00000117877	CD3EAP	0.7	0.00253795997123498
ENSG00000117899	MESD	-0.3	0.17093149720933
ENSG00000117906	RCN2	0.1	0.619968217444072
ENSG00000117971	CHRNB4	-0.5	0.347472956809138
ENSG00000117983	MUC5B	0.3	0.58547034682782
ENSG00000117984	CTSD	0.1	0.794393397968619
ENSG00000118004	COLEC11	-0.3	0.597368752328921
ENSG00000118007	STAG1	-0.2	0.305394215837148
ENSG00000118046	STK11	-0.1	0.882881724883968
ENSG00000118094	TREH	-0.8	0.0104629345661218
ENSG00000118096	IFT46	0.3	0.307130337089261
ENSG00000118137	APOA1	-1.1	1.45969911854873E-4
ENSG00000118160	SLC8A2	0.1	0.939414225111058
ENSG00000118162	KPTN	-0.1	0.864907497430443
ENSG00000118181	RPS25	-0.1	0.301759585129988
ENSG00000118193	KIF14	0.4	0.323992040712085
ENSG00000118194	TNNT2	-0.1	0.93244247926886
ENSG00000118197	DDX59	-0.1	0.878034410069373
ENSG00000118200	CAMSAP2	0.1	0.852122470667479
ENSG00000118242	MREG	-0.3	0.365530855555102
ENSG00000118257	NRP2	0.2	0.439562635453672
ENSG00000118260	CREB1	0.2	0.228922254653767
ENSG00000118292	C1orf54	0.9	4.68909982437889E-4
ENSG00000118298	CA14	-0.3	0.537710593270177
ENSG00000118307	CASC1	-0.1	0.928506026045936
ENSG00000118308	LRMP	-0.6	0.0867055430821179
ENSG00000118322	ATP10B	0.3	0.224823262459527
ENSG00000118363	SPCS2	0.5	0.0204611820776338
ENSG00000118369	USP35	0.2	0.671929561539114
ENSG00000118402	ELOVL4	-0.5	0.427891159188938
ENSG00000118412	CASP8AP2	0.2	0.206248735074307
ENSG00000118418	HMGN3	0.5	0.0178705205350373
ENSG00000118420	UBE3D	0.1	0.921836353681205
ENSG00000118432	CNR1	-0.3	0.537750895336129
ENSG00000118454	ANKRD13C	0.6	0.00420956322784587
ENSG00000118473	SGIP1	0.2	0.625552620355411
ENSG00000118495	PLAGL1	0.1	0.811655812405832
ENSG00000118496	FBXO30	-0.1	0.804469008179952
ENSG00000118503	TNFAIP3	0.5	0.0222273550282965
ENSG00000118507	AKAP7	-0.1	0.876690495985128
ENSG00000118513	MYB	0.5	0.0128703229723998
ENSG00000118514	ALDH8A1	-0.2	0.731988377427902
ENSG00000118515	SGK1	-0.4	0.155023570289526
ENSG00000118518	RNF146	0.1	0.84077041056495
ENSG00000118520	ARG1	-0.1	0.812772413132463
ENSG00000118523	CCN2	0.8	0.00112183253578635
ENSG00000118526	TCF21	-0.2	0.679512325628488
ENSG00000118557	PMFBP1	-0.2	0.649307230116022
ENSG00000118564	FBXL5	-0.2	0.0775639448555747
ENSG00000118579	MED28	0.1	0.695113975040682
ENSG00000118596	SLC16A7	0.3	0.174318416208988
ENSG00000118600	RXYLT1	-0.4	0.374884949517536
ENSG00000118620	ZNF430	0.1	0.669557784503989
ENSG00000118640	VAMP8	-0.1	0.601735092088774
ENSG00000118655	DCLRE1B	0.3	0.442359038613813
ENSG00000118680	MYL12B	1.1	3.5957293149423E-7
ENSG00000118690	ARMC2	0.2	0.704856879081794
ENSG00000118705	RPN2	0.2	0.419085770428979
ENSG00000118707	TGIF2	0.6	0.113843762744473
ENSG00000118729	CASQ2	-0.3	0.456974812469224
ENSG00000118733	OLFM3	-0.2	0.81803327458742
ENSG00000118762	PKD2	-0.1	0.530523938946114
ENSG00000118777	ABCG2	-0.7	0.00584717787648974
ENSG00000118785	SPP1	-0.3	0.56376134923953
ENSG00000118816	CCNI	0.5	3.83213247449631E-7
ENSG00000118849	RARRES1	0.2	0.610102680143516
ENSG00000118855	MFSD1	-0.1	0.828712226113248
ENSG00000118898	PPL	-0.7	0.00592042411295397
ENSG00000118900	UBN1	0.6	1.79109879566063E-6
ENSG00000118946	PCDH17	0.7	0.0694255797868421
ENSG00000118960	HS1BP3	-0.2	0.595999119967934
ENSG00000118961	LDAH	-0.2	0.573936594086578
ENSG00000118965	WDR35	-0.1	0.749257973642601
ENSG00000118971	CCND2	0.7	9.85020748423154E-10
ENSG00000118976	OTUD4P1	-0.4	0.216178441393735
ENSG00000118985	ELL2	0.7	2.40744065421739E-5
ENSG00000118997	DNAH7	-0.6	0.067634631905704
ENSG00000119004	CYP20A1	0.3	0.346196953553606
ENSG00000119013	NDUFB3	-0.3	0.424036470313129
ENSG00000119041	GTF3C3	0.1	0.631326731131865
ENSG00000119048	UBE2B	0.2	0.261950892065353
ENSG00000119121	TRPM6	-0.5	0.0429249496968616
ENSG00000119138	KLF9	-0.1	0.863018085826494
ENSG00000119139	TJP2	-0.4	0.0964554977992287
ENSG00000119147	ECRG4	0.1	0.864030555576883
ENSG00000119185	ITGB1BP1	-0.2	0.562988936122336
ENSG00000119203	CPSF3	-0.3	0.247531811402755
ENSG00000119227	PIGZ	-0.8	0.0335034611200966
ENSG00000119231	SENP5	-0.1	0.437238092151455
ENSG00000119242	CCDC92	-0.3	0.22620787677149
ENSG00000119280	C1orf198	0.6	0.0326125007419954
ENSG00000119283	TRIM67	0.1	0.833547809338093
ENSG00000119285	HEATR1	0.3	0.338094265859529
ENSG00000119314	PTBP3	0.3	0.0523179748865021
ENSG00000119318	RAD23B	0.1	0.655597855789038
ENSG00000119321	FKBP15	-0.2	0.439789229180885
ENSG00000119326	CTNNAL1	-0.1	0.88251402589045
ENSG00000119328	ABITRAM	-0.3	0.495606810748352
ENSG00000119333	WDR34	0.4	0.421563490323168
ENSG00000119335	SET	0.2	0.0880739349229207
ENSG00000119383	PTPA	-0.2	0.525949693644513
ENSG00000119392	GLE1	0.5	4.33009145667895E-4
ENSG00000119396	RAB14	0.1	0.630674802765151
ENSG00000119397	CNTRL	-0.1	0.839112358892585
ENSG00000119401	TRIM32	-0.2	0.50682189487015
ENSG00000119403	PHF19	-0.2	0.617081263992864
ENSG00000119408	NEK6	-0.6	1.18474436326753E-4
ENSG00000119411	BSPRY	0.6	0.0754130386354711
ENSG00000119414	PPP6C	0.4	0.0458483257431675
ENSG00000119421	NDUFA8	0.7	0.0124564550895191
ENSG00000119431	HDHD3	-0.2	0.631604904553746
ENSG00000119487	MAPKAP1	-0.1	0.518416251415399
ENSG00000119508	NR4A3	0.6	0.156431431071293
ENSG00000119509	INVS	0.3	0.25691287910976
ENSG00000119514	GALNT12	-0.2	0.575336160284511
ENSG00000119522	DENND1A	-0.3	0.110215432821219
ENSG00000119535	CSF3R	1.0	2.08884830996869E-4
ENSG00000119537	KDSR	0.3	0.166416941184427
ENSG00000119541	VPS4B	0.4	6.39024196544194E-4
ENSG00000119547	ONECUT2	0.5	0.392452021850973
ENSG00000119559	C19orf25	-0.2	0.638984992963172
ENSG00000119574	ZBTB45	-0.3	0.52626737566399
ENSG00000119596	YLPM1	0.1	0.776023293119579
ENSG00000119599	DCAF4	-0.4	0.273970634644213
ENSG00000119608	PROX2	-0.4	0.363410288160339
ENSG00000119616	FCF1	0.2	0.389418180206775
ENSG00000119630	PGF	0.5	0.313523415813911
ENSG00000119632	IFI27L2	0.2	0.756361899043435
ENSG00000119636	BBOF1	-0.4	0.247885517835218
ENSG00000119638	NEK9	0.3	0.0657525922716019
ENSG00000119650	IFT43	0.2	0.588890921939864
ENSG00000119655	NPC2	0.4	0.0426076555769937
ENSG00000119661	DNAL1	0.3	0.283263098732648
ENSG00000119669	IRF2BPL	0.3	0.267357225708978
ENSG00000119673	ACOT2	-0.2	0.685881457122875
ENSG00000119682	AREL1	-0.1	0.482991976784306
ENSG00000119685	TTLL5	-0.1	0.662991968628936
ENSG00000119686	FLVCR2	-0.1	0.862872563973071
ENSG00000119688	ABCD4	-0.2	0.52103742949017
ENSG00000119689	DLST	-0.3	0.089637091351738
ENSG00000119699	TGFB3	0.6	0.00848590567744531
ENSG00000119703	ZC2HC1C	0.5	0.270722327119766
ENSG00000119705	SLIRP	-0.1	0.867982545297903
ENSG00000119707	RBM25	0.5	9.73816585738139E-9
ENSG00000119711	ALDH6A1	0.5	0.0289801808780668
ENSG00000119714	GPR68	-0.1	0.851796605176446
ENSG00000119718	EIF2B2	0.2	0.506448722098495
ENSG00000119720	NRDE2	-0.2	0.214704999464582
ENSG00000119723	COQ6	-0.4	0.167474174616748
ENSG00000119725	ZNF410	0.3	0.316515097381029
ENSG00000119729	RHOQ	0.1	0.703872604853877
ENSG00000119737	GPR75	-0.6	0.12192416928953
ENSG00000119760	SUPT7L	0.5	0.00301451246752792
ENSG00000119771	KLHL29	-0.1	0.795441529550748
ENSG00000119777	TMEM214	0.6	0.00510620820314071
ENSG00000119778	ATAD2B	0.1	0.359166938832583
ENSG00000119782	FKBP1B	-0.2	0.668706843220611
ENSG00000119787	ATL2	0.2	0.514206237460619
ENSG00000119812	FAM98A	0.3	0.122620201418235
ENSG00000119844	AFTPH	-0.2	0.390346718041868
ENSG00000119862	LGALSL	0.4	0.107838775748088
ENSG00000119866	BCL11A	-0.2	0.486196174869428
ENSG00000119878	CRIPT	-0.2	0.638366781781692
ENSG00000119888	EPCAM	-0.2	0.450839573689554
ENSG00000119899	SLC17A5	-0.1	0.867317073340499
ENSG00000119900	OGFRL1	-0.1	0.862825690979969
ENSG00000119912	IDE	0.2	0.415746357447286
ENSG00000119913	TECTB	-0.2	0.790253709570054
ENSG00000119917	IFIT3	0.3	0.302311146325742
ENSG00000119919	NKX2-3	0.3	0.408525778098371
ENSG00000119922	IFIT2	0.2	0.46045680061577
ENSG00000119927	GPAM	0.6	0.0763349847905716
ENSG00000119929	CUTC	-0.3	0.275464728966227
ENSG00000119938	PPP1R3C	-0.1	0.920378738517204
ENSG00000119943	PYROXD2	0.3	0.645103038390377
ENSG00000119946	CNNM1	-0.3	0.614049879198164
ENSG00000119950	MXI1	0.3	0.105039216657342
ENSG00000119965	C10orf88	-0.2	0.645724789991473
ENSG00000119969	HELLS	0.1	0.692224935317309
ENSG00000119977	TCTN3	0.3	0.425141204535575
ENSG00000119979	DENND10	-0.5	0.165669135114684
ENSG00000119986	AVPI1	-0.1	0.867493353133745
ENSG00000120008	WDR11	-0.1	0.745605157061641
ENSG00000120029	ARMH3	-0.2	0.346924765597993
ENSG00000120049	KCNIP2	0.3	0.362521220338147
ENSG00000120051	CFAP58	0.1	0.84691117469484
ENSG00000120053	GOT1	-0.2	0.523122295843508
ENSG00000120057	SFRP5	-0.1	0.892888976130005
ENSG00000120068	HOXB8	-0.5	0.107642191384747
ENSG00000120071	KANSL1	-0.1	0.380053263704842
ENSG00000120075	HOXB5	-0.4	0.157781561832215
ENSG00000120093	HOXB3	0.1	0.700357640258142
ENSG00000120129	DUSP1	0.1	0.774774395308857
ENSG00000120137	PANK3	-0.2	0.26197440470518
ENSG00000120149	MSX2	0.3	0.653596661100539
ENSG00000120158	RCL1	0.1	0.888829798716288
ENSG00000120159	CAAP1	-0.1	0.813540071165689
ENSG00000120162	MOB3B	-0.2	0.258841659432929
ENSG00000120210	INSL6	0.7	0.0187411281078647
ENSG00000120215	MLANA	0.1	0.791760329019782
ENSG00000120217	CD274	0.4	0.231395627731832
ENSG00000120251	GRIA2	0.3	0.557687575077476
ENSG00000120253	NUP43	0.1	0.73745758865685
ENSG00000120254	MTHFD1L	-0.1	0.788406057662873
ENSG00000120256	LRP11	0.1	0.940017558736223
ENSG00000120262	CCDC170	-0.4	0.361436457279226
ENSG00000120265	PCMT1	0.1	0.662581612557521
ENSG00000120278	PLEKHG1	-0.4	0.0876341567936648
ENSG00000120279	MYCT1	0.1	0.899836321583611
ENSG00000120280	CXorf21	0.3	0.469083017013894
ENSG00000120306	CYSTM1	0.3	0.335329646929046
ENSG00000120314	WDR55	0.2	0.237564488559188
ENSG00000120318	ARAP3	-0.1	0.754950181550203
ENSG00000120324	PCDHB10	-0.1	0.938570681734992
ENSG00000120328	PCDHB12	-0.4	0.475309779069294
ENSG00000120329	SLC25A2	0.1	0.903887814121032
ENSG00000120332	TNN	-0.5	0.349980654601651
ENSG00000120333	MRPS14	-0.1	0.663759399028414
ENSG00000120337	TNFSF18	0.6	0.298414081422301
ENSG00000120341	SEC16B	-0.5	0.16565202047249
ENSG00000120370	GORAB	-0.5	0.181799082439311
ENSG00000120437	ACAT2	-0.9	0.00285256364447873
ENSG00000120440	TTLL2	-0.8	0.0848855131191903
ENSG00000120457	KCNJ5	-0.2	0.769369634793127
ENSG00000120458	MSANTD2	-0.1	0.876690495985128
ENSG00000120500	ARR3	-0.1	0.884025997654169
ENSG00000120509	PDZD11	0.2	0.687171330107963
ENSG00000120519	SLC10A7	0.1	0.777955369787309
ENSG00000120526	NUDCD1	0.1	0.813518934094124
ENSG00000120533	ENY2	-0.2	0.329271535810488
ENSG00000120539	MASTL	-0.3	0.441393172515831
ENSG00000120549	KIAA1217	0.1	0.555315416810549
ENSG00000120594	PLXDC2	0.2	0.358948178594021
ENSG00000120616	EPC1	-0.3	0.0142575297274715
ENSG00000120645	IQSEC3	-0.3	0.533798559834542
ENSG00000120647	CCDC77	0.1	0.819922290806457
ENSG00000120656	TAF12	-0.2	0.476531923186484
ENSG00000120658	ENOX1	-0.5	0.278591488597976
ENSG00000120659	TNFSF11	-0.4	0.427891159188938
ENSG00000120662	MTRF1	-0.1	0.846764403109814
ENSG00000120675	DNAJC15	-0.2	0.149067327823681
ENSG00000120685	PROSER1	0.2	0.370565373875024
ENSG00000120688	WBP4	0.6	0.00370945452980639
ENSG00000120690	ELF1	-0.3	0.0188938929426416
ENSG00000120693	SMAD9	-0.4	0.191124556535969
ENSG00000120694	HSPH1	0.3	0.146843004589958
ENSG00000120697	ALG5	0.3	0.319223349561078
ENSG00000120699	EXOSC8	-0.4	0.124429697056391
ENSG00000120705	ETF1	0.3	0.253047769012414
ENSG00000120708	TGFBI	0.3	0.150714113977122
ENSG00000120709	FAM53C	0.5	0.0834629298741326
ENSG00000120725	SIL1	-0.3	0.333761306214872
ENSG00000120727	PAIP2	-0.1	0.643466716967755
ENSG00000120729	MYOT	-0.1	0.892330616510438
ENSG00000120733	KDM3B	-0.2	0.0767266165718527
ENSG00000120738	EGR1	0.7	0.00959210958173591
ENSG00000120756	PLS1	-0.1	0.876690495985128
ENSG00000120784	ZFP30	0.1	0.759897156781722
ENSG00000120798	NR2C1	0.1	0.880543999628873
ENSG00000120800	UTP20	-0.2	0.248746696104776
ENSG00000120820	GLT8D2	0.1	0.858707605980322
ENSG00000120832	MTERF2	-0.4	0.270722327119766
ENSG00000120837	NFYB	-0.2	0.415445855284397
ENSG00000120868	APAF1	0.2	0.456974812469224
ENSG00000120875	DUSP4	0.6	0.145533314249789
ENSG00000120885	CLU	0.1	0.619968217444072
ENSG00000120896	SORBS3	-0.1	0.882423147140161
ENSG00000120899	PTK2B	-0.2	0.234441977545689
ENSG00000120903	CHRNA2	-0.6	0.149962639568834
ENSG00000120907	ADRA1A	-0.4	0.409941812634371
ENSG00000120910	PPP3CC	-0.3	0.347575065550672
ENSG00000120913	PDLIM2	0.1	0.741553361944537
ENSG00000120915	EPHX2	-0.4	0.106075535534358
ENSG00000120925	RNF170	-0.1	0.86378032774365
ENSG00000120942	UBIAD1	-0.5	0.172594921963763
ENSG00000120948	TARDBP	0.4	0.00524913854995715
ENSG00000120963	ZNF706	-0.2	0.338963785637908
ENSG00000120992	LYPLA1	-0.1	0.864060257288539
ENSG00000121005	CRISPLD1	0.4	0.467482091161914
ENSG00000121022	COPS5	-0.1	0.476559397194012
ENSG00000121039	RDH10	0.2	0.535604638785345
ENSG00000121057	AKAP1	-0.1	0.511408099356778
ENSG00000121064	SCPEP1	-0.3	0.18587138465351
ENSG00000121067	SPOP	0.5	0.00678401728728478
ENSG00000121068	TBX2	-0.3	0.38966077473179
ENSG00000121073	SLC35B1	-0.2	0.523291885679071
ENSG00000121089	NACA3P	-0.5	0.0130059159182568
ENSG00000121104	FAM117A	0.1	0.781757743136098
ENSG00000121152	NCAPH	0.4	0.244630043218311
ENSG00000121207	LRAT	-0.2	0.744363032979963
ENSG00000121210	TMEM131L	-0.1	0.779365150477528
ENSG00000121211	MND1	0.4	0.466429982490388
ENSG00000121236	TRIM6	-0.5	0.0984422976442647
ENSG00000121270	ABCC11	-0.4	0.488256558992525
ENSG00000121281	ADCY7	-0.4	0.410369310316517
ENSG00000121289	CEP89	0.1	0.857760785632716
ENSG00000121297	TSHZ3	0.1	0.824277477995395
ENSG00000121310	ECHDC2	-0.2	0.371264107171073
ENSG00000121316	PLBD1	0.2	0.408818735827685
ENSG00000121350	PYROXD1	-0.2	0.436778656888983
ENSG00000121380	BCL2L14	-0.1	0.664223030535
ENSG00000121390	PSPC1	-0.2	0.316859559374072
ENSG00000121406	ZNF549	0.1	0.813645253560582
ENSG00000121413	ZSCAN18	-0.1	0.787671790504584
ENSG00000121417	ZNF211	-0.2	0.578329456581212
ENSG00000121440	PDZRN3	-0.1	0.907898721686588
ENSG00000121454	LHX4	-0.1	0.912877780451709
ENSG00000121481	RNF2	0.4	0.224347141575466
ENSG00000121486	TRMT1L	0.4	0.206410259213874
ENSG00000121552	CSTA	0.4	0.437238092151455
ENSG00000121577	POPDC2	-0.3	0.394913842640157
ENSG00000121578	B4GALT4	0.1	0.833465010315008
ENSG00000121579	NAA50	0.1	0.823859795040129
ENSG00000121594	CD80	-0.1	0.891263290944059
ENSG00000121644	DESI2	-0.2	0.448327966128067
ENSG00000121671	CRY2	-0.2	0.473677588656688
ENSG00000121680	PEX16	-0.6	0.185808103726427
ENSG00000121690	DEPDC7	-0.2	0.710957890385099
ENSG00000121691	CAT	-0.2	0.188441700619863
ENSG00000121716	PILRB	-0.5	0.177012672306589
ENSG00000121741	ZMYM2	-0.1	0.441940117239495
ENSG00000121749	TBC1D15	0.1	0.622884679764221
ENSG00000121753	ADGRB2	0.3	0.477273836201556
ENSG00000121766	ZCCHC17	0.3	0.314609855591094
ENSG00000121769	FABP3	-0.1	0.904891944772394
ENSG00000121775	TMEM39B	0.2	0.609062294022579
ENSG00000121807	CCR2	-0.4	0.38428539923681
ENSG00000121851	POLR3GL	1.3	1.87133571908928E-9
ENSG00000121858	TNFSF10	0.1	0.777354147749701
ENSG00000121864	ZNF639	0.2	0.427597916989326
ENSG00000121871	SLITRK3	-0.4	0.397430619889564
ENSG00000121879	PIK3CA	0.3	0.0759669477508753
ENSG00000121892	PDS5A	0.1	0.597196833774299
ENSG00000121895	TMEM156	0.1	0.892351118584734
ENSG00000121898	CPXM2	-0.5	0.229639486001296
ENSG00000121900	TMEM54	-0.7	0.0507194428377503
ENSG00000121903	ZSCAN20	-0.3	0.427444190905607
ENSG00000121904	CSMD2	0.2	0.798985155312225
ENSG00000121931	LRIF1	0.2	0.540953845618492
ENSG00000121933	TMIGD3	0.5	0.323955400467036
ENSG00000121940	CLCC1	-0.1	0.863018085826494
ENSG00000121957	GPSM2	-0.1	0.754552309251719
ENSG00000121964	GTDC1	0.2	0.454891532247043
ENSG00000121966	CXCR4	-0.2	0.76014542396325
ENSG00000121988	ZRANB3	-0.1	0.89431053987254
ENSG00000121989	ACVR2A	-0.1	0.758830356086201
ENSG00000122008	POLK	0.1	0.844149612516187
ENSG00000122012	SV2C	-0.1	0.822397820258251
ENSG00000122026	RPL21	0.7	0.00477541054246359
ENSG00000122033	MTIF3	-0.3	0.180839983951553
ENSG00000122034	GTF3A	-0.1	0.718121978500252
ENSG00000122035	RASL11A	-0.5	0.278514096134
ENSG00000122042	UBL3	-0.5	9.18574704998481E-5
ENSG00000122068	FYTTD1	0.1	0.722521039222104
ENSG00000122085	MTERF4	-0.1	0.68350608527435
ENSG00000122121	XPNPEP2	-0.5	0.0218362566918446
ENSG00000122122	SASH3	1.0	3.2644714847421E-4
ENSG00000122126	OCRL	-0.3	0.031835669695419
ENSG00000122140	MRPS2	-0.1	0.924207779340014
ENSG00000122176	FMOD	0.4	0.198988337511334
ENSG00000122188	LAX1	0.3	0.40595512927075
ENSG00000122203	KIAA1191	0.2	0.409639148116069
ENSG00000122218	COPA	-0.1	0.569405649932121
ENSG00000122223	CD244	0.2	0.680205591091151
ENSG00000122224	LY9	0.3	0.548257122576911
ENSG00000122257	RBBP6	0.1	0.402022981377176
ENSG00000122335	SERAC1	-0.1	0.812240843217464
ENSG00000122359	ANXA11	-0.3	0.0284817411487291
ENSG00000122367	LDB3	0.1	0.73897672802949
ENSG00000122378	PRXL2A	-0.1	0.875606835013004
ENSG00000122386	ZNF205	1.1	1.66181094501502E-4
ENSG00000122390	NAA60	-0.3	0.156790505616663
ENSG00000122420	PTGFR	0.1	0.87604626504554
ENSG00000122432	SPATA1	-0.2	0.61125515758381
ENSG00000122435	TRMT13	0.1	0.894248410906351
ENSG00000122477	LRRC39	-0.1	0.888700437682168
ENSG00000122481	RWDD3	0.1	0.860743529944743
ENSG00000122482	ZNF644	0.3	0.0259302163941259
ENSG00000122483	CCDC18	0.4	0.16313756963233
ENSG00000122484	RPAP2	0.1	0.522529045432115
ENSG00000122490	SLC66A2	0.3	0.39313859193253
ENSG00000122507	BBS9	0.1	0.732267280513924
ENSG00000122512	PMS2	0.1	0.742062846113706
ENSG00000122545	SEPTIN7	0.1	0.40415968419521
ENSG00000122547	EEPD1	-0.4	0.101567172418172
ENSG00000122548	KIAA0087	-0.1	0.922295019459177
